,word,score,frequency,feature_proportion,eojeol_proportion,josa_variety,unique_josa_proportion
12680,36회,0.999867,9,1.0,0.8888888888888888,1,1.0
12681,361억원,0.504724,5,1.0,0.0,1,1.0
12682,광주은행장,0.74993475,12,0.4444444444444444,0.25,1,0.5
12683,신해철,0.8512559,17,0.9090909090909091,0.35294117647058826,3,1.0
12684,청주공항,0.7007742,13,0.8333333333333334,0.5384615384615384,3,0.75
12685,사업운영,0.999185,18,0.25,0.7777777777777778,1,1.0
12686,안전행정부,0.7217575,3,1.0,0.3333333333333333,2,1.0
12687,최수아,0.7282922393442622,400,1.0,0.2375,10,0.9090909090909091
12688,제작방법,0.542026,16,1.0,0.1875,3,0.75
12689,북한인권협의체,0.752076,34,1.0,0.35294117647058826,4,0.8
12690,소주병,0.9288597142857142,25,0.875,0.36,3,1.0
12691,존치,0.9980843333333334,17,0.21428571428571427,0.17647058823529413,3,1.0
12692,팀별,0.9988300000000001,7,1.0,0.2857142857142857,1,1.0
12693,실습교육,0.3370554444444444,9,1.0,0.0,2,0.6666666666666666
12694,신용불량자,0.99883,4,0.3333333333333333,0.25,1,1.0
12695,3척,0.5612105294117646,20,1.0,0.15,4,0.8
12696,월러스,0.8041574935064935,108,1.0,0.28703703703703703,4,0.6666666666666666
12697,제한조건,0.5052395,4,0.5,0.0,2,1.0
12698,디지털교과서,0.93776,5,0.75,0.2,1,1.0
12699,버틀러,0.666578,4,1.0,0.25,1,0.5
12700,삼면,0.6036697,10,1.0,0.0,3,1.0
12701,난리,0.6656463333333333,13,0.5,0.07692307692307693,2,0.6666666666666666
12702,분쇄,0.994728,6,0.6,0.16666666666666666,3,1.0
12703,정우성,0.6936766923076922,30,1.0,0.5666666666666667,7,0.875
12704,화왕산성,0.8580621428571428,8,1.0,0.125,4,1.0
12705,지방공무원법,0.504724,7,0.5,0.7142857142857143,1,1.0
12706,페라리,0.968685,4,1.0,0.5,2,1.0
12707,방공작전요원들,0.999867,3,1.0,0.0,1,1.0
12708,화물연대,0.7449172954545454,91,1.0,0.5164835164835165,3,0.75
12709,신규임용,0.0,3,0.0,1.0,0,0.0
12710,여성오락채널,0.0,4,0.0,1.0,0,0.0
12711,의견수렴,0.6033173,26,1.0,0.23076923076923078,4,0.8
12712,기능성,0.631254064516129,99,0.9117647058823529,0.6565656565656566,6,0.8571428571428571
12713,40만명,0.9995875000000001,6,1.0,0.3333333333333333,3,1.0
12714,전자기기,0.7824765,18,1.0,0.5555555555555556,4,0.8
12715,부산,0.638787075107296,3344,0.2254475084663764,0.381877990430622,18,0.782608695652174
12716,강사모집,0.99972,3,1.0,0.0,1,1.0
12717,탈주,0.9997071999999999,8,0.7142857142857143,0.125,4,1.0
